Open,High,Close,Low,Volume,Date
1.61,1.615,1.61,1.595,5272329,09-01-2017
1.61,1.61,1.59,1.585,4594488,10-01-2017
1.585,1.6,1.59,1.58,3310098,11-01-2017
1.6,1.605,1.585,1.58,2315660,12-01-2017
1.59,1.59,1.585,1.575,2214042,13-01-2017
1.59,1.597,1.59,1.58,3339078,16-01-2017
1.585,1.59,1.585,1.565,4616138,17-01-2017
1.59,1.59,1.56,1.56,7222720,18-01-2017
1.56,1.58,1.57,1.55,6027051,19-01-2017
1.565,1.585,1.58,1.555,4695592,20-01-2017
1.59,1.595,1.58,1.565,7971934,23-01-2017
1.56,1.58,1.57,1.55,6261915,24-01-2017
1.58,1.58,1.565,1.555,4255455,25-01-2017
1.565,1.585,1.585,1.565,3732280,27-01-2017
1.585,1.585,1.585,1.56,5721382,30-01-2017
1.59,1.59,1.58,1.57,6050506,31-01-2017
1.575,1.61,1.6,1.575,4441172,01-02-2017
1.6,1.605,1.595,1.59,5379837,02-02-2017
1.59,1.615,1.605,1.59,3381444,03-02-2017
1.605,1.615,1.6,1.587,5493258,6-02-2017
1.595,1.61,1.61,1.57,5378817,7-02-2017
1.6,1.605,1.6,1.59,5144912,8-02-2017
1.6,1.63,1.625,1.595,5711060,09-02-2017
1.625,1.638,1.63,1.615,8434726,10-02-2017
1.635,1.66,1.655,1.635,5962916,13-02-2017
1.655,1.67,1.67,1.648,5793770,14-02-2017
1.665,1.675,1.665,1.655,6001686,15-02-2017
1.67,1.67,1.635,1.635,4831493,16-02-2017
1.645,1.655,1.65,1.635,3874953,17-02-2017
1.655,1.675,1.675,1.64,5875776,20-02-2017
1.67,1.68,1.67,1.66,5710579,21-02-2017
1.67,1.68,1.66,1.655,4550869,22-02-2017
1.655,1.665,1.66,1.64,4847433,23-02-2017
1.655,1.665,1.645,1.645,2014418,24-02-2017
1.64,1.65,1.65,1.63,3352942,27-02-2017
1.64,1.64,1.62,1.595,9337150,28-02-2017
1.63,1.64,1.61,1.61,7620011,01-03-2017
1.63,1.64,1.63,1.62,4644168,02-03-2017
1.62,1.63,1.625,1.61,3137160,03-03-2017
1.615,1.617,1.605,1.587,3507960,6-03-2017
1.6,1.64,1.63,1.6,5318253,7-03-2017
1.63,1.645,1.61,1.6,5090640,8-03-2017
1.615,1.64,1.63,1.605,3334843,09-03-2017
1.635,1.645,1.645,1.625,6317039,10-03-2017
1.655,1.655,1.645,1.64,2123187,13-03-2017
1.65,1.653,1.635,1.633,2358609,14-03-2017
1.64,1.665,1.665,1.625,4964995,15-03-2017
1.66,1.68,1.68,1.655,6676366,16-03-2017
1.685,1.69,1.67,1.663,7212068,17-03-2017
1.665,1.685,1.68,1.665,4590007,20-03-2017
1.68,1.7,1.69,1.67,6322246,21-03-2017
1.69,1.692,1.69,1.68,5764593,22-03-2017
1.665,1.69,1.69,1.645,6033266,23-03-2017
1.69,1.7,1.685,1.68,3872748,24-03-2017
1.69,1.7,1.69,1.68,4880510,27-03-2017
1.695,1.71,1.69,1.69,6988062,28-03-2017
1.7,1.71,1.695,1.685,7211993,29-03-2017
1.685,1.695,1.69,1.68,5458197,30-03-2017
1.695,1.7,1.685,1.678,4898453,31-03-2017
1.68,1.695,1.67,1.67,3173173,03-04-2017
1.67,1.685,1.68,1.665,3687413,04-04-2017
1.68,1.69,1.675,1.675,2743962,05-04-2017
1.685,1.69,1.675,1.67,6649128,06-04-2017
1.675,1.695,1.68,1.67,5322959,07-04-2017
1.69,1.7,1.69,1.685,2957050,10-04-2017
1.69,1.715,1.69,1.683,6060443,11-04-2017
1.695,1.705,1.695,1.68,6969920,12-04-2017
1.685,1.71,1.695,1.683,4871362,13-04-2017
1.695,1.7,1.695,1.685,7774129,18-04-2017
1.685,1.69,1.675,1.675,4434247,19-04-2017
1.68,1.69,1.69,1.67,3541196,20-04-2017
1.7,1.73,1.72,1.69,6213791,21-04-2017
1.73,1.73,1.72,1.71,2708748,24-04-2017
1.725,1.74,1.735,1.715,5299548,26-04-2017
1.735,1.745,1.735,1.725,3277168,27-04-2017
1.74,1.75,1.75,1.73,5169464,28-04-2017
1.745,1.77,1.77,1.735,4725395,01-05-2017
1.78,1.78,1.745,1.737,5565299,02-05-2017
